alias,display_phone,distance,id,image_url,is_closed,name,phone,price,rating,review_count,transactions,url,address1,address2,address3,city,country,display_address,state,zip_code,latitude,longitude,categories_num,category_1_alias,category_1_title,category_2_alias,category_2_title,category_3_alias,category_3_title
mercantile-dining-and-provision-denver,(720) 460-3733,107.4330052591492,KwmKhdWpcIzypdjAUNrc7w,https://s3-media2.fl.yelpcdn.com/bphoto/tw-AMQyUVgi36gGj9qtuKw/o.jpg,False,Mercantile Dining & Provision,+17204603733,$$,4.5,1093,[],https://www.yelp.com/biz/mercantile-dining-and-provision-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1701 Wynkoop St,Ste 155,,Denver,US,"['1701 Wynkoop St', 'Ste 155', 'Denver, CO 80202']",CO,80202,39.7536149959513,-104.999776429002,2,bars,Bars,newamerican,American (New),,
work-and-class-denver,(303) 292-0700,1307.475757252,svJWwW0ilssyqk_UML0mUg,https://s3-media2.fl.yelpcdn.com/bphoto/wknJ1nD0jTQssiXfW-tjFQ/o.jpg,False,Work & Class,+13032920700,$$,4.5,1381,['delivery'],https://www.yelp.com/biz/work-and-class-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,2500 Larimer St,Ste 101,,Denver,US,"['2500 Larimer St', 'Ste 101', 'Denver, CO 80205']",CO,80205,39.75761,-104.98604,3,newamerican,American (New),latin,Latin American,cocktailbars,Cocktail Bars
stout-street-social-denver-2,(720) 214-9100,1045.8485343329469,k1mGLPBSaUhZKem1KrXLJQ,https://s3-media1.fl.yelpcdn.com/bphoto/GipaTd4ADS98v5K4rlg3JA/o.jpg,False,Stout Street Social,+17202149100,$$,4.0,988,"['restaurant_reservation', 'pickup', 'delivery']",https://www.yelp.com/biz/stout-street-social-denver-2?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1400 Stout St,,,Denver,US,"['1400 Stout St', 'Denver, CO 80202']",CO,80202,39.7441431,-104.9947764,3,bars,Bars,tradamerican,American (Traditional),seafood,Seafood
freshcraft-denver,(303) 758-9608,308.834210253632,zhsiD46GZOGjgW9OuRaF6g,https://s3-media1.fl.yelpcdn.com/bphoto/x_JUL97BYoCNq_eq_y5pAg/o.jpg,False,Freshcraft,+13037589608,$$,4.0,945,"['pickup', 'delivery']",https://www.yelp.com/biz/freshcraft-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1530 Blake St,Ste A,,Denver,US,"['1530 Blake St', 'Ste A', 'Denver, CO 80202']",CO,80202,39.74992,-104.99954,2,bars,Bars,comfortfood,Comfort Food,,
ultreia-denver,(303) 534-1970,42.04701683346053,K_LyxTyTfafUytd75mMmMg,https://s3-media4.fl.yelpcdn.com/bphoto/tC3i5xYmEmkcmErD6pfEhQ/o.jpg,False,Ultreia,+13035341970,$$,4.0,202,"['pickup', 'delivery']",https://www.yelp.com/biz/ultreia-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1701 Wynkoop St,Ste 125,,Denver,US,"['1701 Wynkoop St', 'Ste 125', 'Denver, CO 80202']",CO,80202,39.75305,-104.99995,3,tapas,Tapas Bars,portuguese,Portuguese,basque,Basque
machete-tequila-tacos-denver-2,(720) 612-7698,82.59586682918996,AGopPiE4IZUdmw7yo6PIow,https://s3-media2.fl.yelpcdn.com/bphoto/itzCWO24X3YZnmZil8l_wg/o.jpg,False,Machete Tequila + Tacos,+17206127698,$$,4.0,485,"['delivery', 'restaurant_reservation']",https://www.yelp.com/biz/machete-tequila-tacos-denver-2?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1730 Wynkoop St,,,Denver,US,"['1730 Wynkoop St', 'Denver, CO 80202']",CO,80202,39.7530920474473,-104.999181073136,2,mexican,Mexican,bars,Bars,,
euclid-hall-bar-and-kitchen-denver,(303) 595-4255,547.9302891795996,Ip6MAcRC_HTPxhuKi2ZD2w,https://s3-media2.fl.yelpcdn.com/bphoto/BIYnxEFUVhMZ-83SsvVBIA/o.jpg,False,Euclid Hall Bar & Kitchen,+13035954255,$$,4.0,2120,"['pickup', 'delivery']",https://www.yelp.com/biz/euclid-hall-bar-and-kitchen-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1317 14th St,,,Denver,US,"['1317 14th St', 'Denver, CO 80202']",CO,80202,39.74773,-105.00001,2,newamerican,American (New),bars,Bars,,
avelina-denver,(720) 904-6711,136.56548355068574,wHGrRbDPRdSvDSLWy6N5rw,https://s3-media1.fl.yelpcdn.com/bphoto/ARPyD0cXbEoRjkKRwwOHyA/o.jpg,False,Avelina,+17209046711,$$,4.5,345,[],https://www.yelp.com/biz/avelina-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1550 17th St,Ste 120 (On Wazee between 17th and 16th),,Denver,US,"['1550 17th St', 'Ste 120 (On Wazee between 17th and 16th)', 'Denver, CO 80202']",CO,80202,39.75168,-104.99895,3,cocktailbars,Cocktail Bars,newamerican,American (New),venues,Venues & Event Spaces
kyoto-ramen-denver,(303) 623-3839,1028.101635268618,Wqm-vAOcmFal9e65XBpVog,https://s3-media2.fl.yelpcdn.com/bphoto/Klwv4XODswe67qfkpBP22g/o.jpg,False,Kyoto Ramen,+13036233839,$$,4.0,46,[],https://www.yelp.com/biz/kyoto-ramen-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1617 California St,Ste B,,Denver,US,"['1617 California St', 'Ste B', 'Denver, CO 80202']",CO,80202,39.74569,-104.99202,1,ramen,Ramen,,,,
rioja-denver,(303) 820-2282,527.45795161402,ywFvkNZVJoXUQbZoq7fr1w,https://s3-media2.fl.yelpcdn.com/bphoto/kAm-0zVDvYpjXuXWRV2VKA/o.jpg,False,Rioja,+13038202282,$$$,4.5,2143,[],https://www.yelp.com/biz/rioja-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1431 Larimer St,,,Denver,US,"['1431 Larimer St', 'Denver, CO 80202']",CO,80202,39.7478083125095,-104.999331349925,3,newamerican,American (New),spanish,Spanish,bars,Bars
